"Family","Index","Literal"
"bootstrap-account","",".rec.net"
"bootstrap-account","","https://ns.rec.net/?v=2"
"bootstrap-account","","https://rec.net"
"bootstrap-account","","https://rec.net/password/recover"
"config","","/config/{0}"
"config","","/configuration/system.runtime.remoting"
"config","","api/config/"
"inventions","","api/inventions/"
"inventions","","api/inventions/v3/addversion"
"inventions","","api/inventions/v3/save"
"misc","","{0}v1/bulkignoreplatformusers"
"misc","","{0}v1/bulkInvite"
"misc","","{0}v1/consume"
"misc","","{0}v2/gifts/consume/"
"misc","","/room/"
"misc","","/room/{0}"
"misc","","account/{0}"
"misc","","account/{0}/bio"
"misc","","account/bulk"
"misc","","account/bulk?"
"misc","","account/bulk/"
"misc","","account/create"
"misc","","account/me"
"misc","","account/me/"
"misc","","account/me/changepassword"
"misc","","account/me/haspassword"
"misc","","account/recoverpassword"
"misc","","account/search?name="
"misc","","Activities/Dormroom/Scenes/holoHelperRecordingStudio"
"misc","","api/activities/charades/v1/words"
"misc","","api/announcement/v1/get"
"misc","","api/avatar/"
"misc","","api/bugreporting/"
"misc","","api/catalog/v1/all?onlyAvailableSkus=true"
"misc","","api/challenge/"
"misc","","api/checklist/"
"misc","","api/communityboard/"
"misc","","api/consumables/"
"misc","","api/equipment/"
"misc","","api/gameconfigs/"
"misc","","api/groups/"
"misc","","api/images/"
"misc","","api/messages/"
"misc","","api/messages/v1/IOSClearDeviceToken"
"misc","","api/messages/v1/IOSModifyNotificationPreferences"
"misc","","api/messages/v1/IOSResetNotificationPreferencesBadgeCount"
"misc","","api/messages/v1/IOSSaveDeviceToken"
"misc","","api/messages/v3/delete"
"misc","","api/objectives/"
"misc","","api/PlayerCheer/"
"misc","","api/PlayerElo/"
"misc","","api/playerevents/"
"misc","","api/PlayerReporting/"
"misc","","api/PlayersBanned/"
"misc","","api/purchase/v1/cancelpurchase"
"misc","","api/purchase/v1/cleanuppending"
"misc","","api/purchase/v1/completepurchase"
"misc","","api/purchase/v1/initiatepurchase"
"misc","","api/purchase/v1/processpurchase"
"misc","","api/quickPlay/"
"misc","","api/relationships/"
"misc","","api/royale/"
"misc","","api/sanitize/"
"misc","","api/sanitize/v1"
"misc","","api/settings/"
"misc","","api/storefronts/"
"misc","","api/testcasemanagement/"
"misc","","api/versioncheck/v4?v={0}&p={1}"
"misc","","goto/event/{0}"
"misc","","goto/instance/{0}"
"misc","","goto/invite/{0}"
"misc","","goto/player/{0}"
"misc","","goto/room/"
"misc","","https://www.instagram.com/recroom/"
"misc","","room/{0}/instances"
"players","","/api/playerReputation/v1/{0}"
"players","","/api/playerReputation/v1/bulk"
"players","","/api/players/v1/progression/{0}"
"players","","/api/players/v1/progression/bulk"
"players","","api/players/v2/objectives"
"players","","api/playersubscriptions/"
"rooms","","api/rooms/"
"rooms","","api/rooms/v1/roomRolePermissions"
"rooms","","api/rooms/v4/saveData"
"storage-cdn","","{0}v1/datahistory/{1}"
"storage-cdn","","{0}v1/datahistory/restore"
"storage-cdn","","/data/{0}"
