"Build","Type","Method","File","Line","String"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,". If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,". If this persists, please contact us at tokens@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,". Please contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,".rec.net"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/api/playerReputation/v1/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/api/playerReputation/v1/bulk"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/api/players/v1/progression/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/api/players/v1/progression/bulk"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/config/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/data/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/images/Demo/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/invention/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/room/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"/room/{0}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"A moderator has activated junior status on this account. Junior accounts support players 12 or younger. Please enter a parent / guardian?s email or contact conduct@recroom.com to appeal."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Contact support@recroom.com if this continues"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error code FROSTBITE. Please contact support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error copying room. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error creating room. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error modifying room: {0}. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error modifying tags. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error purchasing item. Please contact support@recroom.com if this persists."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error purchasing items. Please contact support@recroom.com if this persists."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error updating invention. If this persists, please contact us at support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error updating room image. If this persists, please contact us at support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error updating. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error: Please contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error: This event is under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Error: You have a room under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to copy room. You have a room under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to import. Please contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to modify room. You have a room under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to room ban. Error code: {0}
If this persists, please email support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to room ban. Please contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to unban. Error code: {0}
If this persists, please email support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to update image. You have a room under moderation review. Email conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to update. Error code: {0}
If this persists, please email support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to update. Please contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Failed to update. You have a room under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"For more information, please contact conduct@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://localhost/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://ns.exitgames.com:80/photon/n"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://offline/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://schemas.microsoft.com/clr/assem/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://schemas.microsoft.com/clr/ns/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://schemas.microsoft.com/clr/nsassem/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.google.com/generate_204"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2000/09/xmldsig#dsa-sha1"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2000/09/xmldsig#rsa-sha1"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2000/09/xmldsig#sha1"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2000/xmlns/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#hmac-ripemd160"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#hmac-sha256"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#hmac-sha384"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#hmac-sha512"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#rsa-sha256"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#rsa-sha384"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#rsa-sha512"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmldsig-more#sha384"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmlenc#sha256"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/04/xmlenc#sha512"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/XMLSchema"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2001/XMLSchema-instance"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/2003/11/xpath-datatypes"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"http://www.w3.org/XML/1998/namespace"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://api.amplitude.com/httpapi"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://api.amplitude.com/identify"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://besthttpdemosite.azurewebsites.net"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://clips.vorwaerts-gmbh.de/big_buck_bunny.mp4"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://graph.oculus.com/me?access_token="
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://ns.rec.net/?v=2"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://rec.net"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://rec.net/password/recover"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://recroom.com/code-of-conduct"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://recroom.happyfox.com/home"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://recroom.happyfox.com/kb/article/43-custom-rooms-tools-and-tutorials"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://uk3.testmy.net/dl-102400"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://unionassets.com/ios-deploy"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://unionassets.com/ios-native-pro/manual"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://www.instagram.com/recroom/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://www.recroom.com/comfortandsafety"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://www.recroom.com/community/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"https://www.recroom.com/privacy-policy/"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"If this persists, please contact support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"One of you events is under moderation review. Contact conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Oops! An error has occured.

If this persists, please contact us at support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Rename failed: {0}. If this persists, please contact support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Room is not active. conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Room is not active. Contact us at support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Room is under review. Contact us at conduct@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Shared on www.rec.net"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Unable to save selection as invention. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Unable to update invention. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Unknown error. If this persists, please contact the developers at support@recroom.com."
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"ws://"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"ws://{0}:{1}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"wss://"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"wss://{0}:{1}"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"wss://echo.websocket.org"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"You are banned for {0}. For any questions contact support@recroom.com"
"2020.03 archive literal","stringliteral.json","","Il2CppDump\stringliteral.json",,"Your account is in timeout. Conduct@recroom.com"
"2020.12.18 ISIL","AGUI.StackedUI.StorePurchaseSkuScreen","System.Void EOLEDECNKDH(System.String JJGHIEJCCDA, System.String AIPBOMLEOND)","AGUI\StackedUI\StorePurchaseSkuScreen.txt","1216",". If this persists, please contact us at tokens@recroom.com."
"2020.12.18 ISIL","EBAIPNMBKLK","RecRoom.Async.IPromise`1<JGEBJEJLNBK> JNLDMDCGHHJ(System.Int32 GKLPIFBPGOD)","EBAIPNMBKLK.txt","1231","/api/playerReputation/v1/{0}"
"2020.12.18 ISIL","EBAIPNMBKLK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<JGEBJEJLNBK>> KGPDFJMKJKL(System.Collections.Generic.List`1<System.Int32> ILNGMAANNDG)","EBAIPNMBKLK.txt","1631","/api/playerReputation/v1/bulk"
"2020.12.18 ISIL","ACJLCBNBJDK","RecRoom.Async.IPromise`1<NFMBDLEJEDD> AAGPDEDFCNI(System.Int32 GKLPIFBPGOD)","ACJLCBNBJDK.txt","1673","/api/players/v1/progression/{0}"
"2020.12.18 ISIL","ACJLCBNBJDK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<NFMBDLEJEDD>> MCFMHADBDBI(System.Collections.Generic.List`1<System.Int32> ILNGMAANNDG)","ACJLCBNBJDK.txt","2051","/api/players/v1/progression/bulk"
"2020.12.18 ISIL","GNPDMBPGHBH","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<CCMBKDINCAH>> DMHOIAJGABC(System.Collections.Generic.IReadOnlyList`1<System.Int64> JOGAGJIPEDN)","GNPDMBPGHBH.txt","2388","/bulk"
"2020.12.18 ISIL","GNPDMBPGHBH+MKCNPHKGFDM","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<CCMBKDINCAH>> <GetEventsByIds>b__1(System.String uri)","GNPDMBPGHBH_NestedType_MKCNPHKGFDM.txt","138","/bulk"
"2020.12.18 ISIL","FHLGJDFHOKL","RecRoom.Async.IPromise MCDNGDMJHBE()","FHLGJDFHOKL.txt","502","/config/{0}"
"2020.12.18 ISIL","COFHGNFJMOG","RecRoom.Async.IPromise`1<PLDFOPCHHJG> HDLJGFEDGLH(System.String ENJEOLBEALP, System.Nullable`1<System.Int32> LNBJKLOINED)","COFHGNFJMOG.txt","1242","/consume"
